Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,44_obs_for_SMA
2021-03-17,HCLTECH,EQ,1007.25,1012.0,1023.9,982.7,990.5,987.45,1005.8,6758901,679812299600000.0,166390,3002221,0.44420000000000004,961.0522727272728
2021-03-18,HCLTECH,EQ,987.45,995.0,999.75,932.4,953.15,947.75,965.46,8269566,798390638240000.0,187399,3152298,0.3812,958.593181818182
2021-03-19,HCLTECH,EQ,947.75,950.0,969.0,937.7,962.0,960.45,959.16,9004154,863639780800000.0,173072,3079837,0.342,957.0647727272728
2021-03-22,HCLTECH,EQ,960.45,960.45,982.45,944.6,977.05,978.75,967.35,4745254,459031909939999.94,118618,1890607,0.39840000000000003,956.8136363636364
2021-03-23,HCLTECH,EQ,978.75,983.65,992.9,971.8,981.0,980.85,982.19,5158305,506642107855000.0,135696,2022448,0.3921,956.7988636363636
2021-03-24,HCLTECH,EQ,980.85,971.05,984.75,965.8,974.55,975.65,977.25,3874331,378617905165000.0,88387,1527159,0.39420000000000005,956.6125000000001
2021-03-25,HCLTECH,EQ,975.65,970.0,974.5,950.0,962.0,957.05,965.24,4879437,470982857964999.94,110892,2225205,0.456,955.6534090909092
2021-03-26,HCLTECH,EQ,957.05,965.0,975.0,953.8,960.0,958.55,962.8,4271178,411227242560000.0,96782,2107168,0.4933,954.8636363636365
2021-03-30,HCLTECH,EQ,958.55,965.0,1000.8,964.45,995.1,995.8,986.21,5475051,539955143264999.94,121367,2381501,0.435,955.0909090909092
2021-03-31,HCLTECH,EQ,995.8,1000.0,1000.0,978.65,984.1,982.65,988.7,4445140,439492251945000.0,91412,1481223,0.3332,955.8897727272729
2021-04-01,HCLTECH,EQ,982.65,992.0,1013.5,990.6,1000.6,1002.6,1004.36,5269079,529202910500000.0,97439,1518707,0.2882,956.9602272727275
2021-04-05,HCLTECH,EQ,1002.6,1007.0,1040.0,1002.6,1034.55,1033.5,1022.68,9452833,966720151445000.1,235092,3361126,0.3556,959.2227272727275
2021-04-06,HCLTECH,EQ,1033.5,1039.0,1040.6,1020.25,1029.0,1028.4,1028.99,4260257,438377739764999.94,126271,1757118,0.41240000000000004,961.8227272727275
2021-04-07,HCLTECH,EQ,1028.4,1031.0,1045.0,1024.7,1037.0,1037.2,1034.68,3551106,367426493780000.0,105511,1629345,0.45880000000000004,964.2965909090912
2021-04-08,HCLTECH,EQ,1037.2,1044.0,1054.4,1031.65,1037.15,1037.5,1041.24,4852068,505217310920000.0,120480,2184456,0.45020000000000004,966.1795454545456
2021-04-09,HCLTECH,EQ,1037.5,1042.1,1054.8,1034.15,1043.05,1045.4,1044.97,3708082,387484200000000.0,82356,1637896,0.44170000000000004,968.1227272727275
2021-04-12,HCLTECH,EQ,1045.4,1042.95,1042.95,1001.2,1012.95,1009.4,1015.97,5976427,607189575275000.0,141109,2890337,0.48360000000000003,969.2988636363639
2021-04-13,HCLTECH,EQ,1009.4,1012.5,1020.8,972.2,988.3,983.4,991.02,7773994,770421873795000.0,191456,3429972,0.4412,970.1454545454548
2021-04-15,HCLTECH,EQ,983.4,968.0,994.7,958.75,994.0,991.9,976.91,7430279,725873746105000.0,210308,3553281,0.4782,970.9215909090912
2021-04-16,HCLTECH,EQ,991.9,1000.0,1016.8,994.5,1016.0,1012.75,1009.97,4677808,472444455645000.0,80815,2120186,0.4532,972.3113636363639
2021-04-19,HCLTECH,EQ,1012.75,996.0,1028.45,987.85,990.0,994.6,1008.95,6239343,629520703430000.0,141513,1916983,0.3072,973.1102272727276
2021-04-20,HCLTECH,EQ,994.6,1006.0,1006.0,957.0,960.9,961.3,972.08,9742418,947036257340000.0,211611,3459107,0.35509999999999997,972.9034090909095
2021-04-22,HCLTECH,EQ,961.3,966.0,971.9,955.3,960.8,961.9,963.72,4970596,479027644864999.94,124163,1915843,0.3854,972.9375000000003
2021-04-23,HCLTECH,EQ,961.9,964.0,974.85,950.2,956.5,955.65,962.69,6023490,579874459595000.0,125365,1708688,0.2837,972.9602272727276
2021-04-26,HCLTECH,EQ,955.65,940.0,954.5,923.05,930.0,928.8,931.7,19619972,1827996568584999.8,311431,9218485,0.46990000000000004,972.4261363636367
2021-04-27,HCLTECH,EQ,928.8,931.0,938.55,923.4,930.3,928.85,928.06,6406825,594593831720000.0,180458,3233276,0.5047,972.1000000000004
2021-04-28,HCLTECH,EQ,928.85,931.2,935.85,921.75,925.9,923.8,926.63,6845677,634340292970000.0,228230,3890178,0.5683,971.5477272727277
2021-04-29,HCLTECH,EQ,923.8,929.7,929.7,907.1,910.3,909.55,914.34,8588734,785298770340000.0,363122,4041614,0.4706,970.6250000000005
2021-04-30,HCLTECH,EQ,909.55,905.0,915.0,895.4,900.1,898.95,904.98,10921664,988391121379999.9,465056,6189272,0.5667,970.1431818181823
2021-05-03,HCLTECH,EQ,898.95,898.75,910.45,891.0,909.9,907.7,903.47,6871176,620787299115000.0,192077,3707743,0.5396,970.0920454545459
2021-05-04,HCLTECH,EQ,907.7,910.0,915.0,899.25,902.95,900.95,907.88,6217026,564430112400000.0,168209,4062318,0.6534000000000001,969.7500000000003
2021-05-05,HCLTECH,EQ,900.95,903.95,910.8,900.6,910.15,909.4,906.28,2696835,244408518935000.0,101282,1203503,0.44630000000000003,969.298863636364
2021-05-06,HCLTECH,EQ,909.4,912.0,923.9,901.25,915.2,916.0,911.9,6319104,576242023555000.0,143748,3197706,0.506,969.4477272727277
2021-05-07,HCLTECH,EQ,916.0,918.0,921.4,913.7,915.55,916.4,917.07,3651558,334872645540000.0,78952,2114655,0.5791,969.1306818181823
2021-05-10,HCLTECH,EQ,916.4,918.05,921.6,910.2,913.95,913.95,914.15,4029147,368323554645000.0,124563,2413906,0.5991,968.2261363636368
2021-05-11,HCLTECH,EQ,913.95,908.5,912.45,905.1,907.4,907.3,908.42,3818154,346849914150000.0,123163,2375253,0.6221,966.9090909090914
2021-05-12,HCLTECH,EQ,907.3,906.15,908.95,895.0,908.9,906.1,901.92,4076940,367705868845000.0,121902,2118015,0.5195000000000001,965.7295454545459
2021-05-14,HCLTECH,EQ,906.1,909.0,912.0,896.5,910.6,910.35,903.96,5184569,468662671410000.06,141247,3088910,0.5958,965.0215909090913
2021-05-17,HCLTECH,EQ,910.35,914.6,927.2,910.1,922.0,922.15,921.02,7956551,732810748665000.0,163399,4544019,0.5711,964.1181818181823
2021-05-18,HCLTECH,EQ,922.15,928.0,939.5,924.5,932.9,931.6,933.07,5913426,551766811400000.0,150926,3107120,0.5254,963.173863636364
2021-05-19,HCLTECH,EQ,931.6,928.0,941.0,925.15,932.95,931.4,934.46,4178834,390496088215000.0,88976,2303193,0.5512,961.8761363636368
2021-05-20,HCLTECH,EQ,931.4,932.0,934.8,922.05,925.45,924.4,925.34,4753782,439887826680000.0,131917,3191642,0.6714,960.6295454545459
2021-05-21,HCLTECH,EQ,924.4,925.5,934.65,923.0,932.0,930.65,929.64,4161547,386873516235000.0,123901,2431471,0.5843,959.2272727272732
2021-05-24,HCLTECH,EQ,930.65,931.5,939.0,927.7,933.05,932.8,934.27,4191877,391633986365000.0,82909,2261626,0.5395000000000001,957.5352272727279
2021-05-25,HCLTECH,EQ,932.8,938.0,943.8,935.15,941.0,940.6,940.33,5032874,473254977105000.0,130222,2970901,0.5903,956.4704545454551
2021-05-26,HCLTECH,EQ,940.6,940.0,948.95,932.55,946.0,945.8,941.45,5017674,472391219655000.0,122694,2496338,0.4975,956.426136363637
2021-05-27,HCLTECH,EQ,945.8,949.0,956.9,938.1,943.0,942.4,946.84,9078274,859567103190000.0,147589,5206707,0.5735,956.0159090909099
2021-05-28,HCLTECH,EQ,942.4,940.05,949.75,937.4,944.0,942.55,943.91,4098094,386824472750000.0,100104,2333102,0.5693,955.1931818181827
